Absans	absence seizure	psy
Addison anemiyası	addison's anemia	psy
Addison krizi	adrenal crisis	psy
Addison xəstəliyi	addison's disease	psy
Adekvat qavrama	adequate perception	psy
Adenoidlərin hipertrofiyası	adenoid hypertrophy	psy
Adenovirus enteriti	adenoviral enteritis	psy
Adenovirus meningiti	adenoviral meningitis	psy
Adenoviruslar	adenoviruses	psy
Adentiya	anodontia	psy
Adi dəyişkən immun çatmamazlıq	common variable immunodeficiency	psy
Adiaspiromikoz	adiaspiromycosis	psy
Adipozo-genital distrofiya sindromu	adiposogenital dystrophy syndrome	psy
Adrenogenital pozğunluqlar	adrenogenital disorders	psy
Adrenoleykodistrofiya	adrenoleukodystrophy	psy
Afaziya	aphasia	psy
Affektiv	affective	psy
Afrika tripanosomozu	african trypanosomiasis	psy
Ailəvi hiperkalsiurik hiperkalsiemiya	familial hypercalciuric hypercalcemia	psy
Ailəvi hiperxolesterinemiya	familial hypercholesterolemia	psy
Ailəvi hipofosfatemiya	familial hypophosphatemia	psy
Ailəvi olmayan hipoqammaqlobulinemiya	non-hereditary hypogammaglobulinemia	psy
Akademiya	academy	psy
Akantamöbioz	acanthamoebiasis	psy
Akizitiv emosiyalar	acquisitive emotions	psy
Akromeqaliya	acromegaly	psy
Akustik nevrit	acoustic neuritis	psy
Albinizm	albinism	psy
Alfa ritm	alpha rhythm	psy
Alimentar marazm	alimentary marasmus	psy
Alkaloz	alkalosis	psy
Alkoqol ensefalopatiyaları	alcoholic encephalopathies	psy
Alkoqol epilepsiyası	alcoholic epilepsy	psy
Alkoqol hepatiti	alcoholic hepatitis	psy
Alkoqol miopatiyası	alcoholic myopathy	psy
Alkoqol paranoidi	alcoholic paranoia	psy
Allergik qranulomatoz angiit	allergic granulomatous angiitis	psy
Allergik reaksiyalar	allergic reactions	psy
Alleşeroz	allescheriosis	psy
Alprazolam	alprazolam	psy
Alqoneyrodistrofiya	algoneurodystrophy	psy
Altsheymer xəstəliyi	alzheimer's disease	psy
Alveolyar ağciyər mikrolitiazı	pulmonary alveolar microlithiasis	psy
Alveolyar osteit	alveolar osteitis	psy
Alveolyar proteinoz	alveolar proteinosis	psy
Amae	amae (dependency on others)	psy
Ambliopiya	amblyopia	psy
Amiloidoz	amyloidosis	psy
Amneziya	amnesia	psy
Amöbiaz	amebiasis	psy
Anadangəlmə afibrinogenemiya	congenital afibrinogenemia	psy
Anadangəlmə miopatiyalar	congenital myopathies	psy
Anadangəlmə yod çatmamazlığı sindromu	congenital iodine deficiency syndrome	psy
Anal kanalın polipi	anal canal polyp	psy
Androgen alopesiya	androgenetic alopecia	psy
Androgen rezistentlik sindromu	androgen resistance syndrome	psy
Androgenlərin artıqlığı	androgen excess	psy
Anensefaliya	anencephaly	psy
Anginoz sindrom	anginal syndrome	psy
Angiostrongiloidoz	angiostrongyliasis	psy
Anhidroz	anhidrosis	psy
Anima	anima	psy
Animus	animus	psy
Ankilostomidoz	ancylostomiasis	psy
Ankilozlaşan spondilit	ankylosing spondylitis	psy
Anksiolitik təsir	anxiolytic effect	psy
Anoftalm	anophthalmia	psy
Anorektal fistul	anorectal fistula	psy
Anteroqrad amneziya	anterograde amnesia	psy
Antidepresan	antidepressant	psy
Antidepresiv effekt	antidepressant effect	psy
Antidiuretik hormonun qeyri-adekvat sekresiyası sindromu	syndrome of inappropriate antidiuretic hormone secretion	psy
Antikardiolipin sindromu	anticardiolipin syndrome	psy
Anusun prolapsı	anal prolapse	psy
Aorta qapağının revmatik mənşəli çatmamazlığı	rheumatic aortic valve insufficiency	psy
Aortit	aortitis	psy
Aplastik anemiyalar	aplastic anemias	psy
Appendiksin divertikulu	appendiceal diverticulum	psy
Appendiksin fistulu	appendiceal fistula	psy
Appendikulyar daşlar	appendicoliths	psy
Aqorafobiya	agoraphobia	psy
Aqranulositoz	agranulocytosis	psy
Aqressiv və autoaqressiv davranış	aggressive and auto-aggressive behavior	psy
Askaridoz	ascariasis	psy
Aspartilqlükozaminuriya	aspartylglucosaminuria	psy
Asperger sindromu	asperger syndrome	psy
Aspergillyoz	aspergillosis	psy
Assit	ascites	psy
Asteniya	asthenia	psy
Astenopiya	asthenopia	psy
Astma	asthma	psy
At quyruğu sindromu	cauda equina syndrome	psy
Atipik autizm	atypical autism	psy
Atipik sinir anoreksiyası	atypical anorexia nervosa	psy
Atipik sinir bulimiyası	atypical bulimia nervosa	psy
Atipik və ya qarışıq tipli demensiya	atypical or mixed dementia	psy
Atopik dermatit	atopic dermatitis	psy
Atrofik qlossit	atrophic glossitis	psy
Atropatiyalar	arthropathies	psy
Autoimmun hemolitik xəstəlik	autoimmune hemolytic disease	psy
Autoimmun poliqlandulyar çatmamazlıq	autoimmune polyglandular failure	psy
Axlorhidriya	achlorhydria	psy
Axromatopsiya	achromatopsia	psy
Ayaqdarağı kanal sindromu	tarsal tunnel syndrome	psy
Azan sinirin zədələnməsi	vagus nerve lesion	psy
Açıq pedaqoji qiymətləndirmə	open pedagogical assessment	psy
Ağ ciyər vərəmi	pulmonary tuberculosis	psy
Ağciyər arteriyasının anevrizması	pulmonary artery aneurysm	psy
Ağciyər eozinofiliyası	pulmonary eosinophilia	psy
Ağciyər fibrozu	pulmonary fibrosis	psy
Ağciyər ödemi	pulmonary edema	psy
Ağciyər-ürək çatmamazlığı	pulmonary heart disease	psy
Ağrılı piylənmə	painful obesity	psy
Ağır dərəcə	severe intellectual disability	psy
Ağız suyu sekresiyasının pozğunluğu	salivary secretion disorder	psy
Ağız suyu vəzisinin absesi	salivary gland abscess	psy
Ağız suyu vəzisinin atrofiyası	salivary gland atrophy	psy
Ağız suyu vəzisinin fistulu	salivary gland fistula	psy
Ağız suyu vəzisinin hipertrofiyası	salivary gland hypertrophy	psy
Ağız suyu vəzisinin mukoseli	salivary gland mucocele	psy
Aşaf fenburq simptomu	aschaffenburg's symptom	psy
Aşağı ətraf venalarının varikoz genəlməsi	varicose veins of the lower extremities	psy
Babezioz	babesiosis	psy
Badamcıqların hipertrofiyası	tonsillar hypertrophy	psy
Bakterial zoonozlar	bacterial zoonoses	psy
Balantidiaz	balantidiasis	psy
Barret qida borusu	barrett's esophagus	psy
Barret xorası	barrett's ulcer	psy
Barter sindromu	bartter syndrome	psy
