(Xroniki) (periferik) venozçatmamazlıq	венозная недостаточность (хроническая) (периферическая)	med
(Ön, arxa) damaq badamcığı qövsünün bədxassəli	злокачественное новообразование дужки небной миндалины (передней) (задней)	med
,,Ürək dayanmasından” qəfləti ölüm kimi təsvir olunmuş hadisə	внезапная сердечная смерть, так описанная	med
3-cü [gözün hərəki] sinirin iflici	паралич 3-го [глазодвигательного] нерва	med
4-cü [blok] sinirin iflici	паралич 4-го [блокового] нерва	med
6-cı [uzaqlaşdırıcı] sinirin iflici	паралич 6-го [отводящего] нерва	med
A hipervitaminozu	гипервитаминоз a	med
A immunoqlobulinin [IgA]çatmamazlığı	избирательный дефицит иммуноглобулина a [iga]	med
A paratifi	паратиф a	med
A qrup streptokokklar - başqa rubrikalarda təsnif edilən	стрептококки группы a как причина болезней, классифицированных в других рубриках	med
A qrup stretokokkların törətdiyi sepsis	сепсис, вызванный стрептококком группы a	med
A vitamininin digər gözəlamətləri ilə müşayiət olunan	другие глазные проявления недостаточности витамина a	med
A vitamininin dəqiqləşdirilməmişçatmamazlığı	недостаточность витамина a неуточненная	med
A vitaminininçatmamazlığının digərəlamətləri	другие проявления недостаточности витамина a	med
A vitaminininçatmamazlığının nəticələri	последствия недостаточности витамина a	med
A vitaminiçatmamazlığı	недостаточность витамина a	med
Abdominal aktinomikoz	абдоминальный актиномикоз	med
Abort, uşaqlıqdankənar və molyar hamiləliklə bağlı ağırlaşmalar	осложнения, вызванные абортом, внематочной и молярной беременностью	med
Abortun digər növləri	другие виды аборта	med
Absans	абсанс	psy
Absesləşməmiş pilonidal kista	пилонидальная киста без абсцессов	med
Acı bağırsağın bədxassəli yenitörəməsi	злокачественное новообразование тощей кишки	med
Addison anemiyası	анемия аддисона	psy
Addison krizi	аддисонический криз	psy
Addison krizi	аддисонов криз	psy
Addison xəstəliyi	болезнь аддисона	psy
Adekvat qavrama	адекватное восприятие	psy
Adenoidlərin hipertrofiyası	гипертрофия аденоидов	psy
Adenovirus enteriti	аденовирусный энтерит	psy
Adenovirus meningiti	аденовирусный менингит	psy
Adenovirus mənşəli pnevmoniya	аденовирусная пневмония	med
Adenoviruslar	аденовирусы	psy
Adenoviruslar - başqa rubrikalarda təsnif edilən xəstəliklərin	аденовирусы как причина болезней, классифицированных в других рубриках	med
Adenozindezaminazanınçatmamazlığı	дефицит аденозиндезаминазы [ада]	med
Adentiya	адентия	psy
Adi dəyişkən immun çatmamazlıq	общий вариабельный иммунодефицит	psy
Adi pemfiqus	пузырчатка обыкновенная	med
Adi psoriaz	псориаз обыкновенный	med
Adi sızanaqlar [acne vulgaris]	угри обыкновенные [acne vulgaris]	med
Adi variabel immunçatmamazlıq	обычный вариабельный иммунодефицит	med
Adiaspiromikoz	адиаспиромикоз	psy
Adipozo-genital distrofiya sindromu	синдром адипозо-генитальной дистрофии	psy
Adrenogenital pozğunluqlar	адреногенитальные нарушения	psy
Adrenogenital pozğunluqlar	адреногенитальные расстройства	psy
Adrenoleykodistrofiya	адренолейкодистрофия	psy
Adəti düşük	привычный выкидыш	med
Adətlərin və meyllərin digər pozğunluqları	другие расстройства привычек и влечений	med
Adətlərin və meyllərin dəqiqləşdirilməmiş pozğunluğu	расстройство привычек и влечений неуточненное	med
Afaziya	афазия	psy
Affektiv	аффективный	psy
Afrika tripanosomozu	африканский трипаносомоз	psy
Ahıl yaşdaşəxsiyyət və davranışın digər dəqiqləşdirilmiş	другие уточненные расстройства личности и поведения в зрелом возрасте	med
Ailə anamnezində bədxassəli yenitörəmə	в семейном анамнезе злокачественное новообразование	med
Ailə anamnezində digər patoloji hallar	в семейном анамнезе другие патологические состояния	med
Ailə anamnezində digər özünəməxsus pozulmalar	в семейном анамнезе другие специфические нарушения	med
Ailə anamnezində psixi pozğunluqlar və davranış pozğunluqları	в семейном анамнезе психические расстройства и расстройства поведения	med
Ailə anamnezindəəmək qabiliyyətini aşağı salan bəzi xəstəliklər vəəlilliyə səbəb olan xroniki	в семейном анамнезе некоторые болезни, снижающие трудоспособность, и хронические болезни, ведущие к инвалидности	med
Ailəvi dizavtonomiya [Rayli-Deya]	семейная дизавтономия [райли-дея]	med
Ailəvi eritrositoz	семейный эритроцитоз	med
Ailəvi hiperkalsiurik hiperkalsiemiya	семейная гиперкальциурическая гиперкальциемия	psy
Ailəvi hiperxolesterinemiya	семейная гиперхолестеринемия	psy
Ailəvi hipofosfatemiya	семейная гипофосфатемия	psy
Ailəvi olmayan hipoqammaqlobulinemiya	ненаследственная гипогаммаглобулинемия	psy
Ailəvi olmayan hipoqammaqlobulinemiya	несемейная гипогаммаглобулинемия	psy
Ailəvi olmayan idiopatik distoniya	идиопатическая несемейная дистония	med
Akademiya	академия	psy
Akantamöbioz	акантамебиаз	psy
Akantamöbioz	акантамёбиоз	psy
Akizitiv emosiyalar	акцизитивные эмоции	psy
